Frequency,Latitude,Longitude,Description
1030,-12.90503978729248,-38.33744812011719,[DOC] Radar secundário (Ground-based SSR)
1030,-28.125869750976562,-49.47684097290039,[DOC] Radar secundário (Ground-based SSR)
1030,-1.3904800415039062,-48.481719970703125,[DOC] Radar secundário (Ground-based SSR)
1030,-2.845590114593506,-60.70140838623047,[DOC] Radar secundário (Ground-based SSR)
1030,-3.7836999893188477,-38.52922821044922,[DOC] Radar secundário (Ground-based SSR)
1030,-9.520000457763672,-35.797401428222656,[DOC] Radar secundário (Ground-based SSR)
1030,-5.919410228729248,-35.25434112548828,[DOC] Radar secundário (Ground-based SSR)
1030,-4.249989986419678,-69.9330062866211,[DOC] Radar secundário (Ground-based SSR)
1030,-15.840120315551758,-52.277870178222656,[DOC] Radar secundário (Ground-based SSR)
1030,-22.4654598236084,-43.29277038574219,[DOC] Radar secundário (Ground-based SSR)
1030,-18.19207000732422,-45.4564094543457,[DOC] Radar secundário (Ground-based SSR)
1030,-19.985219955444336,-40.58076095581055,[DOC] Radar secundário (Ground-based SSR)
1030,-23.603010177612305,-47.96849822998047,[DOC] Radar secundário (Ground-based SSR)
1030,-20.613819122314453,-49.69816970825195,[DOC] Radar secundário (Ground-based SSR)
1030,-15.47284984588623,-55.8070182800293,[DOC] Radar secundário (Ground-based SSR)
1030,-3.4296000003814697,-60.03937911987305,[DOC] Radar secundário (Ground-based SSR)
1030,-0.14459000527858734,-67.05940246582031,[DOC] Radar secundário (Ground-based SSR)
1030,-5.06056022644043,-42.82746887207031,[DOC] Radar secundário (Ground-based SSR)
1030,-10.297459602355957,-48.356781005859375,[DOC] Radar secundário (Ground-based SSR)
1030,-11.88440990447998,-55.58251190185547,[DOC] Radar secundário (Ground-based SSR)
1030,-3.377840042114258,-64.7231674194336,[DOC] Radar secundário (Ground-based SSR)
1030,-20.277090072631836,-54.47352981567383,[DOC] Radar secundário (Ground-based SSR)
1030,-31.400789260864258,-52.695960998535156,[DOC] Radar secundário (Ground-based SSR)
1030,-29.223960876464844,-54.92853927612305,[DOC] Radar secundário (Ground-based SSR)
1030,-25.12129020690918,-53.12406921386719,[DOC] Radar secundário (Ground-based SSR)
1030,-19.013330459594727,-57.65999984741211,[DOC] Radar secundário (Ground-based SSR)
1030,-15.971460342407227,-48.02111053466797,[DOC] Radar secundário (Ground-based SSR)
